Age,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016
0,589094,589291,606837,628876,639304,656225,676566,703442,697824,707490,715455,731996,710927,697813,696519,702448
1,604168,591079,590192,606299,628743,638782,659209,677274,702979,696668,705564,720620,737107,717402,704962,703660
2,619857,606814,593857,590877,607269,628217,639908,661963,678483,703735,697230,710233,725543,743077,723873,711790
3,630733,623009,609816,596415,592433,607450,629114,640261,664720,680296,705619,701269,714192,731084,748880,729969
4,647151,634135,626861,612860,599518,593260,608696,629112,640455,667858,683333,709087,705138,719256,736368,754440
5,642693,650860,638038,630787,614381,601191,594765,609094,629891,641523,670398,686539,712492,709836,724129,741125
6,644718,646165,654790,641303,632671,616269,604205,595900,610204,630566,641578,673024,689504,716270,713780,728221
7,660424,647572,650407,658585,643098,634983,619648,607047,597726,611345,630147,644420,675792,693077,720162,717666
8,668481,664057,651042,654336,660406,645306,638773,622842,610424,599483,611534,632795,647196,679134,696654,723753
9,689651,670687,667864,654163,656638,662818,648632,642115,626336,613692,600322,614369,635523,650372,682541,700304
10,700555,692253,673635,670182,656908,659829,666958,651166,645458,630082,616336,603306,617115,638713,653896,686326
11,689223,703198,694696,674907,673652,659705,663798,669740,654344,649574,633082,619504,606324,620519,642623,657869
12,682125,689682,705575,694773,676822,676618,663031,666678,673134,658092,652737,636063,622567,609986,624447,646764
13,689695,681695,690610,705578,696066,678697,680651,665491,670284,677135,661321,655838,638885,626214,613943,628447
14,672803,688091,682190,688850,706745,697016,681125,683453,668360,674303,680532,664388,658882,642714,630339,617967
15,663855,671277,689942,683484,691641,711203,701529,686200,690240,673941,680783,683327,667216,662930,647287,635430
16,668607,664277,673145,692036,686901,694999,716914,707128,692858,697351,680979,683288,685855,671384,667536,652501
17,644386,669627,668278,674768,695370,690630,700336,723366,714151,699396,706234,684150,686404,691529,677805,674503
18,629706,648808,676959,674914,681339,701686,699301,709050,734658,723508,711491,711138,688070,693488,699829,686194
19,623983,639416,660775,689030,689537,691785,716154,713284,725213,749484,741667,720741,719148,700070,706823,713266
