country	year	ddd.per.thousand	sector	atc	notes
Austria	2015	0.61	AC	D	NA
Belgium	2015	1.83	AC	D	NA
Bulgaria	2015	0.3	AC	D	NA
Croatia	2015	0.13	AC	D	NA
Cyprus	2015	1.25	AC	D	pc.hosp.total
Czech Republic	2015	0.47	AC	D	NA
Denmark	2015	1.49	AC	D	NA
Estonia	2015	1.21	AC	D	NA
Finland	2015	1.61	AC	D	NA
France	2015	1.22	AC	D	NA
Germany	2015	0.65	AC	D	NA
Greece	2015	0.32	AC	D	NA
Hungary	2015	0.72	AC	D	NA
Iceland	2015	1.98	AC	D	NA
Ireland	2015	NA	AC	D	missing.data
Italy	2015	0.18	AC	D	NA
Latvia	2015	0.38	AC	D	NA
Liechtenstein	2015	NA	AC	D	missing.data
Lithuania	2015	0.48	AC	D	NA
Luxembourg	2015	0.31	AC	D	NA
Malta	2015	0.28	AC	D	NA
Netherlands	2015	1.01	AC	D	NA
Norway	2015	1.12	AC	D	NA
Poland	2015	0.24	AC	D	NA
Portugal	2015	1.52	AC	D	NA
Romania	2015	0.2	AC	D	pc.hosp.total
Slovakia	2015	0.54	AC	D	NA
Slovenia	2015	0.78	AC	D	NA
Spain	2015	0.2	AC	D	NA
Sweden	2015	0.56	AC	D	NA
United Kingdom	2015	NA	AC	D	missing.data
Austria	2015	0.61	AC	D01	NA
Belgium	2015	1.83	AC	D01	NA
Bulgaria	2015	0.3	AC	D01	NA
Croatia	2015	0.13	AC	D01	NA
Cyprus	2015	1.25	AC	D01	pc.hosp.total
Czech Republic	2015	0.47	AC	D01	NA
Denmark	2015	1.49	AC	D01	NA
Estonia	2015	1.21	AC	D01	NA
Finland	2015	1.61	AC	D01	NA
France	2015	1.22	AC	D01	NA
Germany	2015	0.65	AC	D01	NA
Greece	2015	0.32	AC	D01	NA
Hungary	2015	0.72	AC	D01	NA
Iceland	2015	1.98	AC	D01	NA
Ireland	2015	NA	AC	D01	missing.data
Italy	2015	0.18	AC	D01	NA
Latvia	2015	0.38	AC	D01	NA
Liechtenstein	2015	NA	AC	D01	missing.data
Lithuania	2015	0.48	AC	D01	NA
Luxembourg	2015	0.31	AC	D01	NA
Malta	2015	0.28	AC	D01	NA
Netherlands	2015	1.01	AC	D01	NA
Norway	2015	1.12	AC	D01	NA
Poland	2015	0.24	AC	D01	NA
Portugal	2015	1.52	AC	D01	NA
Romania	2015	0.2	AC	D01	pc.hosp.total
Slovakia	2015	0.54	AC	D01	NA
Slovenia	2015	0.78	AC	D01	NA
Spain	2015	0.2	AC	D01	NA
Sweden	2015	0.56	AC	D01	NA
United Kingdom	2015	NA	AC	D01	reported.zero
Austria	2015	0.61	AC	D01B	NA
Belgium	2015	1.83	AC	D01B	NA
Bulgaria	2015	0.3	AC	D01B	NA
Croatia	2015	0.13	AC	D01B	NA
Cyprus	2015	1.25	AC	D01B	pc.hosp.total
Czech Republic	2015	0.47	AC	D01B	NA
Denmark	2015	1.49	AC	D01B	NA
Estonia	2015	1.21	AC	D01B	NA
Finland	2015	1.61	AC	D01B	NA
France	2015	1.22	AC	D01B	NA
Germany	2015	0.65	AC	D01B	NA
Greece	2015	0.32	AC	D01B	NA
Hungary	2015	0.72	AC	D01B	NA
Iceland	2015	1.98	AC	D01B	NA
Ireland	2015	NA	AC	D01B	missing.data
Italy	2015	0.18	AC	D01B	NA
Latvia	2015	0.38	AC	D01B	NA
Liechtenstein	2015	NA	AC	D01B	missing.data
Lithuania	2015	0.48	AC	D01B	NA
Luxembourg	2015	0.31	AC	D01B	NA
Malta	2015	0.28	AC	D01B	NA
Netherlands	2015	1.01	AC	D01B	NA
Norway	2015	1.12	AC	D01B	NA
Poland	2015	0.24	AC	D01B	NA
Portugal	2015	1.52	AC	D01B	NA
Romania	2015	0.2	AC	D01B	pc.hosp.total
Slovakia	2015	0.54	AC	D01B	NA
Slovenia	2015	0.78	AC	D01B	NA
Spain	2015	0.2	AC	D01B	NA
Sweden	2015	0.56	AC	D01B	NA
United Kingdom	2015	NA	AC	D01B	reported.zero
Austria	2015	0.61	AC	D01BA	NA
Belgium	2015	1.83	AC	D01BA	NA
Bulgaria	2015	0.3	AC	D01BA	NA
Croatia	2015	0.13	AC	D01BA	NA
Cyprus	2015	1.25	AC	D01BA	pc.hosp.total
Czech Republic	2015	0.47	AC	D01BA	NA
Denmark	2015	1.49	AC	D01BA	NA
Estonia	2015	1.21	AC	D01BA	NA
Finland	2015	1.61	AC	D01BA	NA
France	2015	1.22	AC	D01BA	NA
Germany	2015	0.65	AC	D01BA	NA
Greece	2015	0.32	AC	D01BA	NA
Hungary	2015	0.72	AC	D01BA	NA
Iceland	2015	1.98	AC	D01BA	NA
Ireland	2015	NA	AC	D01BA	missing.data
Italy	2015	0.18	AC	D01BA	NA
Latvia	2015	0.38	AC	D01BA	NA
Liechtenstein	2015	NA	AC	D01BA	missing.data
Lithuania	2015	0.48	AC	D01BA	NA
Luxembourg	2015	0.31	AC	D01BA	NA
Malta	2015	0.28	AC	D01BA	NA
Netherlands	2015	1.01	AC	D01BA	NA
Norway	2015	1.12	AC	D01BA	NA
Poland	2015	0.24	AC	D01BA	NA
Portugal	2015	1.52	AC	D01BA	NA
Romania	2015	0.2	AC	D01BA	pc.hosp.total
Slovakia	2015	0.54	AC	D01BA	NA
Slovenia	2015	0.78	AC	D01BA	NA
Spain	2015	0.2	AC	D01BA	NA
Sweden	2015	0.56	AC	D01BA	NA
United Kingdom	2015	NA	AC	D01BA	reported.zero
Austria	2015	0.067	AC	First-generation quinolones	NA
Belgium	2015	0.122	AC	First-generation quinolones	NA
Bulgaria	2015	0.204	AC	First-generation quinolones	NA
Croatia	2015	0.792	AC	First-generation quinolones	NA
Cyprus	2015	0.88	AC	First-generation quinolones	pc.hosp.total
Czech Republic	2015	0.138	AC	First-generation quinolones	NA
Denmark	2015	NA	AC	First-generation quinolones	missing.data
Estonia	2015	0.225	AC	First-generation quinolones	NA
Finland	2015	0.003	AC	First-generation quinolones	NA
France	2015	0.305	AC	First-generation quinolones	NA
Germany	2015	0.053	AC	First-generation quinolones	NA
Greece	2015	0.148	AC	First-generation quinolones	NA
Hungary	2015	0.319	AC	First-generation quinolones	NA
Iceland	2015	NA	AC	First-generation quinolones	missing.data
Ireland	2015	NA	AC	First-generation quinolones	missing.data
Italy	2015	0.085	AC	First-generation quinolones	NA
Latvia	2015	0.207	AC	First-generation quinolones	NA
Liechtenstein	2015	NA	AC	First-generation quinolones	missing.data
Lithuania	2015	0.186	AC	First-generation quinolones	NA
Luxembourg	2015	0.109	AC	First-generation quinolones	NA
Malta	2015	0.19	AC	First-generation quinolones	NA
Netherlands	2015	0.074	AC	First-generation quinolones	NA
Norway	2015	NA	AC	First-generation quinolones	missing.data
Poland	2015	0.309	AC	First-generation quinolones	NA
Portugal	2015	0.136	AC	First-generation quinolones	NA
Romania	2015	0.84	AC	First-generation quinolones	pc.hosp.total
Slovakia	2015	0.31	AC	First-generation quinolones	NA
Slovenia	2015	0.211	AC	First-generation quinolones	NA
Spain	2015	0.196	AC	First-generation quinolones	NA
Sweden	2015	0.009	AC	First-generation quinolones	NA
United Kingdom	2015	NA	AC	First-generation quinolones	missing.data
Austria	2015	1.63	AC	Intermediate-acting macrolides	NA
Belgium	2015	1.54	AC	Intermediate-acting macrolides	NA
Bulgaria	2015	1.71	AC	Intermediate-acting macrolides	NA
Croatia	2015	0.96	AC	Intermediate-acting macrolides	NA
Cyprus	2015	2.1	AC	Intermediate-acting macrolides	pc.hosp.total
Czech Republic	2015	2.71	AC	Intermediate-acting macrolides	NA
Denmark	2015	1.08	AC	Intermediate-acting macrolides	NA
Estonia	2015	1.7	AC	Intermediate-acting macrolides	NA
Finland	2015	0.35	AC	Intermediate-acting macrolides	NA
France	2015	1.36	AC	Intermediate-acting macrolides	NA
Germany	2015	1.06	AC	Intermediate-acting macrolides	NA
Greece	2015	6.06	AC	Intermediate-acting macrolides	NA
Hungary	2015	1.18	AC	Intermediate-acting macrolides	NA
Iceland	2015	0.26	AC	Intermediate-acting macrolides	NA
Ireland	2015	3.02	AC	Intermediate-acting macrolides	NA
Italy	2015	2.89	AC	Intermediate-acting macrolides	NA
Latvia	2015	1.1	AC	Intermediate-acting macrolides	NA
Liechtenstein	2015	NA	AC	Intermediate-acting macrolides	missing.data
Lithuania	2015	1.37	AC	Intermediate-acting macrolides	NA
Luxembourg	2015	1.96	AC	Intermediate-acting macrolides	NA
Malta	2015	2.53	AC	Intermediate-acting macrolides	NA
Netherlands	2015	0.35	AC	Intermediate-acting macrolides	NA
Norway	2015	0.17	AC	Intermediate-acting macrolides	NA
Poland	2015	1.8	AC	Intermediate-acting macrolides	NA
Portugal	2015	1.41	AC	Intermediate-acting macrolides	NA
Romania	2015	1.98	AC	Intermediate-acting macrolides	pc.hosp.total
Slovakia	2015	2.99	AC	Intermediate-acting macrolides	NA
Slovenia	2015	0.54	AC	Intermediate-acting macrolides	NA
Spain	2015	0.63	AC	Intermediate-acting macrolides	NA
Sweden	2015	0.05	AC	Intermediate-acting macrolides	NA
United Kingdom	2015	NA	AC	Intermediate-acting macrolides	missing.data
Austria	2015	15.7	AC	J	NA
Belgium	2015	30.5	AC	J	NA
Bulgaria	2015	22.9	AC	J	NA
Croatia	2015	22.3	AC	J	NA
Cyprus	2015	33.8	AC	J	pc.hosp.total
Czech Republic	2015	20.6	AC	J	NA
Denmark	2015	17.1	AC	J	NA
Estonia	2015	12.7	AC	J	NA
Finland	2015	18.1	AC	J	NA
France	2015	33.4	AC	J	NA
Germany	2015	16.5	AC	J	NA
Greece	2015	38.9	AC	J	NA
Hungary	2015	18	AC	J	NA
Iceland	2015	21.8	AC	J	NA
Ireland	2015	25.3	AC	J	NA
Italy	2015	28.4	AC	J	NA
Latvia	2015	15.6	AC	J	NA
Liechtenstein	2015	NA	AC	J	missing.data
Lithuania	2015	17.6	AC	J	NA
Luxembourg	2015	28.5	AC	J	NA
Malta	2015	23	AC	J	NA
Netherlands	2015	13.5	AC	J	NA
Norway	2015	17.5	AC	J	NA
Poland	2015	29	AC	J	NA
Portugal	2015	22.1	AC	J	NA
Romania	2015	36	AC	J	pc.hosp.total
Slovakia	2015	27.3	AC	J	NA
Slovenia	2015	15.4	AC	J	NA
Spain	2015	22.9	AC	J	NA
Sweden	2015	14.4	AC	J	NA
United Kingdom	2015	NA	AC	J	missing.data
Austria	2015	13.9	AC	J01	NA
Belgium	2015	27.7	AC	J01	NA
Bulgaria	2015	21.4	AC	J01	NA
Croatia	2015	21.8	AC	J01	NA
Cyprus	2015	31.1	AC	J01	pc.hosp.total
Czech Republic	2015	19.5	AC	J01	NA
Denmark	2015	16.1	AC	J01	NA
Estonia	2015	12	AC	J01	NA
Finland	2015	17.2	AC	J01	NA
France	2015	29.9	AC	J01	NA
Germany	2015	14.4	AC	J01	NA
Greece	2015	36.1	AC	J01	NA
Hungary	2015	17	AC	J01	NA
Iceland	2015	19.9	AC	J01	NA
Ireland	2015	25.3	AC	J01	NA
Italy	2015	27.5	AC	J01	NA
Latvia	2015	13.3	AC	J01	NA
Liechtenstein	2015	NA	AC	J01	missing.data
Lithuania	2015	16.7	AC	J01	NA
Luxembourg	2015	26.3	AC	J01	NA
Malta	2015	21.6	AC	J01	NA
Netherlands	2015	10.7	AC	J01	NA
Norway	2015	15.8	AC	J01	NA
Poland	2015	26.2	AC	J01	NA
Portugal	2015	21.3	AC	J01	NA
Romania	2015	33.3	AC	J01	pc.hosp.total
Slovakia	2015	24.5	AC	J01	NA
Slovenia	2015	14.5	AC	J01	NA
Spain	2015	22.2	AC	J01	NA
Sweden	2015	12.3	AC	J01	NA
United Kingdom	2015	20.1	AC	J01	NA
Austria	2015	0.99	AC	J01A	NA
Belgium	2015	2.03	AC	J01A	NA
Bulgaria	2015	1.7	AC	J01A	NA
Croatia	2015	1.14	AC	J01A	NA
Cyprus	2015	3.61	AC	J01A	pc.hosp.total
Czech Republic	2015	1.98	AC	J01A	NA
Denmark	2015	1.61	AC	J01A	NA
Estonia	2015	1.44	AC	J01A	NA
Finland	2015	3.94	AC	J01A	NA
France	2015	3.26	AC	J01A	NA
Germany	2015	1.97	AC	J01A	NA
Greece	2015	2.58	AC	J01A	NA
Hungary	2015	1.21	AC	J01A	NA
Iceland	2015	4.6	AC	J01A	NA
Ireland	2015	2.57	AC	J01A	NA
Italy	2015	0.55	AC	J01A	NA
Latvia	2015	2.18	AC	J01A	NA
Liechtenstein	2015	NA	AC	J01A	missing.data
Lithuania	2015	1.33	AC	J01A	NA
Luxembourg	2015	1.69	AC	J01A	NA
Malta	2015	0.75	AC	J01A	NA
Netherlands	2015	2.25	AC	J01A	NA
Norway	2015	3.08	AC	J01A	NA
Poland	2015	2.39	AC	J01A	NA
Portugal	2015	0.83	AC	J01A	NA
Romania	2015	1.1	AC	J01A	pc.hosp.total
Slovakia	2015	1.73	AC	J01A	NA
Slovenia	2015	0.42	AC	J01A	NA
Spain	2015	0.74	AC	J01A	NA
Sweden	2015	2.54	AC	J01A	NA
United Kingdom	2015	4.97	AC	J01A	NA
Austria	2015	0.99	AC	J01AA	NA
Belgium	2015	2.03	AC	J01AA	NA
Bulgaria	2015	1.7	AC	J01AA	NA
Croatia	2015	1.14	AC	J01AA	NA
Cyprus	2015	3.61	AC	J01AA	pc.hosp.total
Czech Republic	2015	1.98	AC	J01AA	NA
Denmark	2015	1.61	AC	J01AA	NA
Estonia	2015	1.44	AC	J01AA	NA
Finland	2015	3.94	AC	J01AA	NA
France	2015	3.26	AC	J01AA	NA
Germany	2015	1.97	AC	J01AA	NA
Greece	2015	2.58	AC	J01AA	NA
Hungary	2015	1.21	AC	J01AA	NA
Iceland	2015	4.6	AC	J01AA	NA
Ireland	2015	2.57	AC	J01AA	NA
Italy	2015	0.55	AC	J01AA	NA
Latvia	2015	2.18	AC	J01AA	NA
Liechtenstein	2015	NA	AC	J01AA	missing.data
Lithuania	2015	1.33	AC	J01AA	NA
Luxembourg	2015	1.69	AC	J01AA	NA
Malta	2015	0.75	AC	J01AA	NA
Netherlands	2015	2.25	AC	J01AA	NA
Norway	2015	3.08	AC	J01AA	NA
Poland	2015	2.39	AC	J01AA	NA
Portugal	2015	0.83	AC	J01AA	NA
Romania	2015	1.1	AC	J01AA	pc.hosp.total
Slovakia	2015	1.73	AC	J01AA	NA
Slovenia	2015	0.42	AC	J01AA	NA
Spain	2015	0.74	AC	J01AA	NA
Sweden	2015	2.54	AC	J01AA	NA
United Kingdom	2015	4.97	AC	J01AA	NA
Austria	2015	NA	AC	J01B	reported.zero
Belgium	2015	0.0269	AC	J01B	NA
Bulgaria	2015	0.0357	AC	J01B	NA
Croatia	2015	NA	AC	J01B	reported.zero
Cyprus	2015	NA	AC	J01B	pc.hosp.totalreported.zero
Czech Republic	2015	1e-04	AC	J01B	NA
Denmark	2015	NA	AC	J01B	reported.zero
Estonia	2015	NA	AC	J01B	reported.zero
Finland	2015	NA	AC	J01B	reported.zero
France	2015	3e-04	AC	J01B	NA
Germany	2015	NA	AC	J01B	reported.zero
Greece	2015	1e-04	AC	J01B	NA
Hungary	2015	NA	AC	J01B	reported.zero
Iceland	2015	NA	AC	J01B	reported.zero
Ireland	2015	NA	AC	J01B	reported.zero
Italy	2015	0.0583	AC	J01B	NA
Latvia	2015	NA	AC	J01B	reported.zero
Liechtenstein	2015	NA	AC	J01B	missing.data
Lithuania	2015	NA	AC	J01B	reported.zero
Luxembourg	2015	0.0014	AC	J01B	NA
Malta	2015	1e-04	AC	J01B	NA
Netherlands	2015	NA	AC	J01B	reported.zero
Norway	2015	NA	AC	J01B	reported.zero
Poland	2015	NA	AC	J01B	reported.zero
Portugal	2015	NA	AC	J01B	reported.zero
Romania	2015	0.0092	AC	J01B	pc.hosp.total
Slovakia	2015	NA	AC	J01B	reported.zero
Slovenia	2015	NA	AC	J01B	reported.zero
Spain	2015	NA	AC	J01B	reported.zero
Sweden	2015	NA	AC	J01B	reported.zero
United Kingdom	2015	8e-04	AC	J01B	NA
Austria	2015	NA	AC	J01BA	reported.zero
Belgium	2015	0.0269	AC	J01BA	NA
Bulgaria	2015	0.0357	AC	J01BA	NA
Croatia	2015	NA	AC	J01BA	reported.zero
Cyprus	2015	NA	AC	J01BA	pc.hosp.totalreported.zero
Czech Republic	2015	1e-04	AC	J01BA	NA
Denmark	2015	NA	AC	J01BA	reported.zero
Estonia	2015	NA	AC	J01BA	reported.zero
Finland	2015	NA	AC	J01BA	reported.zero
France	2015	3e-04	AC	J01BA	NA
Germany	2015	NA	AC	J01BA	reported.zero
Greece	2015	1e-04	AC	J01BA	NA
Hungary	2015	NA	AC	J01BA	reported.zero
Iceland	2015	NA	AC	J01BA	reported.zero
Ireland	2015	NA	AC	J01BA	reported.zero
Italy	2015	0.0583	AC	J01BA	NA
Latvia	2015	NA	AC	J01BA	reported.zero
Liechtenstein	2015	NA	AC	J01BA	missing.data
Lithuania	2015	NA	AC	J01BA	reported.zero
Luxembourg	2015	0.0014	AC	J01BA	NA
Malta	2015	1e-04	AC	J01BA	NA
Netherlands	2015	NA	AC	J01BA	reported.zero
Norway	2015	NA	AC	J01BA	reported.zero
Poland	2015	NA	AC	J01BA	reported.zero
Portugal	2015	NA	AC	J01BA	reported.zero
Romania	2015	0.0092	AC	J01BA	pc.hosp.total
Slovakia	2015	NA	AC	J01BA	reported.zero
Slovenia	2015	NA	AC	J01BA	reported.zero
Spain	2015	NA	AC	J01BA	reported.zero
Sweden	2015	NA	AC	J01BA	reported.zero
United Kingdom	2015	8e-04	AC	J01BA	NA
Austria	2015	6.6	AC	J01C	NA
Belgium	2015	15	AC	J01C	NA
Bulgaria	2015	8.2	AC	J01C	NA
Croatia	2015	11.9	AC	J01C	NA
Cyprus	2015	13.3	AC	J01C	pc.hosp.total
Czech Republic	2015	8.3	AC	J01C	NA
Denmark	2015	10.7	AC	J01C	NA
Estonia	2015	4.8	AC	J01C	NA
Finland	2015	6.3	AC	J01C	NA
France	2015	18.8	AC	J01C	NA
Germany	2015	4.5	AC	J01C	NA
Greece	2015	14.6	AC	J01C	NA
Hungary	2015	7.1	AC	J01C	NA
Iceland	2015	10.7	AC	J01C	NA
Ireland	2015	15.4	AC	J01C	NA
Italy	2015	15.5	AC	J01C	NA
Latvia	2015	6.5	AC	J01C	NA
Liechtenstein	2015	NA	AC	J01C	missing.data
Lithuania	2015	9.6	AC	J01C	NA
Luxembourg	2015	13.4	AC	J01C	NA
Malta	2015	8.6	AC	J01C	NA
Netherlands	2015	4.4	AC	J01C	NA
Norway	2015	6.4	AC	J01C	NA
Poland	2015	10.4	AC	J01C	NA
Portugal	2015	12.2	AC	J01C	NA
Romania	2015	18.8	AC	J01C	pc.hosp.total
Slovakia	2015	8.9	AC	J01C	NA
Slovenia	2015	9.6	AC	J01C	NA
