PERIOD,V1
201008,2515930
201009,2887955
201010,3057898
201011,3201713
201012,4095170
201101,3465222
201102,3030377
201103,3468823
201104,2801389
201105,2726241
201106,2805170
201107,2693394
201108,2680836
201109,2842478
201110,2997553
201111,3237083
201112,3528768
201201,3416887
201202,3387482
201203,3476939
201204,2939965
201205,3308742
201206,2866174
201207,3153673
201208,2902137
201209,2744448
201210,3375108
201211,3354393
201212,3696706
201301,3699509
201302,3248539
201303,3260114
201304,3129337
201305,2954642
201306,2679823
201307,2872299
201308,2583980
201309,2762896
201310,3176868
201311,3084875
201312,3511133
201401,3471026
201402,3125160
201403,3313568
201404,3089184
201405,2990270
201406,2841873
201407,2886456
201408,2487660
201409,2837533
201410,3130048
201411,2992296
201412,3960892
201501,3593806
201502,3106443
201503,3372897
201504,2907703
201505,2688194
201506,2717507
201507,2722433
201508,2364003
201509,2641838
201510,2913575
201511,2873408
201512,3249873
201601,3098251
201602,3134029
201603,3313417
201604,2930976
201605,2690301
201606,2670659
201607,2663501
201608,2514461
201609,2614614
201610,2820771
201611,3053966
201612,3376134
201701,3327154
201702,2873812
201703,3070444
201704,2537557
201705,2728666
201706,2605121
201707,2575956
201708,2538352
201709,2593690
201710,2824900
201711,2856732
201712,3121626
201801,3450943
201802,2824511
201803,2934278
201804,2610094
201805,2603340
201806,2434875
201807,2433623
201808,2375781
201809,2371806
201810,2764716
201811,2720152
201812,2838825
