country	pop.2015.eurostat	coverage.ColRACI	coverage.CRACI	coverage.MDRACI	coverage.VRE	coverage.ColREC	coverage.CREC	coverage.3GCREC	coverage.ColRKP	coverage.CRKP	coverage.3GCRKP	coverage.ColRPA	coverage.CRPA	coverage.MDRPA	coverage.MRSA	coverage.PRSP	coverage.PMRSP
Austria	8642699	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
Belgium	11274196	8	8	8	24	24	24	24	23	23	23	24	24	24	24	87	87
Bulgaria	7177991	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
Cyprus	847664	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85
Czech Republic	10546059	85	85	85	85	85	85	85	85	85	85	85	85	85	85	90	90
Germany	81686611	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
Denmark	5683483	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Estonia	1315407	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Greece	10820883	60	60	60	54	60	60	60	53	53	53	52	52	52	57	NA	NA
Spain	46444832	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05	31.05
Finland	5479531	95	95	95	99	98	98	98	98	98	98	99	99	99	98	98	98
France	66593366	18	18	18	18	18	18	18	18	18	18	18	18	18	18	67.2	67.2
Croatia	4207993	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
Hungary	9843028	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
Ireland	4701957	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
Iceland	330815	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Italy	60730582	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Lithuania	2904910	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
Luxembourg	569604	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Latvia	1977527	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
Malta	445053	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95
Netherlands	16939923	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65
Norway	5190239	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Poland	37986412	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
Portugal	10358076	91.2	91.2	91.2	96	95.2	95.2	95.2	96.5	96.5	96.5	95.3	95.3	95.3	96.1	95	95
Romania	19815481	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Sweden	9799186	60	60	60	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5	77.5
Slovenia	2063531	100	100	100	98.8	99.3	99.3	99.3	99.6	99.6	99.6	97.9	97.9	97.9	97.9	99.1	99.1
Slovakia	5423801	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
United Kingdom	65128861	12	12	12	12	12	12	12	12	12	12	12	12	12	26	21	21
																	
